ConstituentID,DisplayName,ArtistBio,Nationality,Gender,BeginDate,EndDate,Wiki QID,ULAN
149,Cuno Amiet,"Swiss, 1868–1961",Swiss,male,1868,1961,Q566797,500005153.0
314,Theo H. Ballmer,"Swiss, 1902–1965",Swiss,male,1902,1965,Q2416828,500060722.0
348,Maurice Barraud,"Swiss, 1889–1955",Swiss,male,1889,1955,,
355,Ruodi Barth,"Swiss, 1921–1999",Swiss,male,1921,1999,,
391,Otto Baumberger,"Swiss, 1889–1961",Swiss,male,1889,1961,Q121025,
509,Thoni Bern,Swiss,Swiss,,0,0,,
559,Max Bill,"Swiss, 1908–1994",Swiss,male,1908,1994,Q123454,500005369.0
563,Manfred Bingler,"Swiss, born 1928",Swiss,male,1928,0,,
564,Peter Birkhauser,"Swiss, 1911–1976",Swiss,male,1911,1976,Q678067,500345161.0
566,Werner Bischof,"Swiss, 1916–1954",Swiss,male,1916,1954,Q120369,500070840.0
594,Werner Blaser,"Swiss, born 1924",Swiss,male,1924,0,Q1715499,500030955.0
633,Arthur Emil Bofinger,"Swiss, born 1909",Swiss,male,1909,0,,
643,Frédéric Boissonnas,"Swiss, 1858–1946",Swiss,male,1858,1946,,
687,Fritz Boscovits,"Swiss, 1871–1965",Swiss,male,1871,1965,,
691,Rodolphe-Théophile Bosshard,"Swiss, 1889–1960",Swiss,male,1889,1960,,
696,Mario Botta,"Swiss, born 1943",Swiss,male,1943,0,Q122363,500015342.0
778,Serge Brignoni,"Swiss, 1903–2002",Swiss,male,1903,2002,,
790,Jürgen Brodwolf,"Swiss, born 1932",Swiss,male,1932,0,,
825,Paul Brühwiler,"Swiss, born 1939",Swiss,male,1939,0,,
828,Donald Brun,"Swiss, 1909–1999",Swiss,male,1909,1999,Q1239735,
842,Gustave Buchet,"Swiss, 1888–1963",Swiss,male,1888,1963,,
856,Fritz Bühler,"Swiss, 1909–1963",Swiss,male,1909,1963,,
875,Burkhard,Swiss,Swiss,,0,0,,
885,René Burri,"Swiss, 1933–2014",Swiss,male,1933,2014,Q671527,500115621.0
914,Miriam Cahn,"Swiss, born 1949",Swiss,female,1949,0,,
968,Emil Cardinaux,"Swiss, 1877–1936",Swiss,male,1877,1936,Q3052207,500021057.0
1142,Roman Clemens,"Swiss, born Germany. 1910–1992",Swiss,male,1910,1992,,
1367,Oskar Dalvit,"Swiss, 1911–1975",Swiss,male,1911,1975,,
1541,Alex Walter Diggelmann,"Swiss, 1902–1987",Swiss,male,1902,1987,,
1553,Martin Disler,"Swiss, 1949–1996",Swiss,male,1949,1996,Q670011,500053927.0
1696,Hans Eichenberger,"Swiss, 1926 - 2024",Swiss,male,1926,2024,,
1697,Hermann Eidenbenz,"Swiss, born India. 1902–1993",Swiss,male,1902,1993,Q1424173,
1750,Hans Erni,"Swiss, 1909–2015",Swiss,male,1909,2015,Q667671,500007927.0
1808,Franz Fassler,Swiss,Swiss,male,0,0,,
1810,Nicolas Faure,"Swiss, born 1949",Swiss,male,1949,0,,
1824,Helmut Federle,"Swiss, born 1944",Swiss,male,1944,0,,
1890,Hans Fischli,"Swiss, 1909–1989",Swiss,male,1909,1989,Q1579482,500030853.0
1891,Peter Fischli,"Swiss, born 1952",Swiss,male,1952,0,Q18618551,500101939.0
2041,Fussli,Swiss,Swiss,,0,0,,
2045,Johannes Gachnang,"Swiss, 1939–2005",Swiss,male,1939,2005,,
2136,Karl Gerstner,"Swiss, born 1930",Swiss,male,1930,0,Q1707424,500047251.0
2137,Franz Gertsch,"Swiss, born 1930",Swiss,male,1930,0,Q116077,500006247.0
2141,Alberto Giacometti,"Swiss, 1901–1966",Swiss,male,1901,1966,Q157194,500118871.0
2142,Augusto Giacometti,"Swiss, 1877–1947",Swiss,male,1877,1947,Q671236,500021952.0
2165,Wilhelm Gimmi,"Swiss, 1886–1960",Swiss,male,1886,1960,,
2174,Fritz Girardin,Swiss,Swiss,,0,0,,
2179,A. Gisiger,Swiss,Swiss,,0,0,,
2277,Camille Graeser,"Swiss, 1892–1980",Swiss,male,1892,1980,Q121000,500016403.0
2278,Carl Bernhard Graf,"Swiss, 1926–1968",Swiss,male,1926,1968,,
2354,René Groebli,"Swiss, born 1927",Swiss,male,1927,0,Q2144658,
2369,Grosset & Trembley,Swiss,Swiss,,0,0,,
2388,Max Gubler,"Swiss, 1898–1973",Swiss,male,1898,1973,,
2437,Reinhold Häcker,"Swiss, 1903–1976",Swiss,male,1903,1976,,
2443,M. Hafelmaier,Swiss,Swiss,,0,0,,
2459,Peter Hajnoczky,"Swiss, born 1943",Swiss,male,1943,0,,
2466,Hermann Haller,"Swiss, 1880–1950",Swiss,male,1880,1950,Q680826,500000874.0
2477,Jörg Hamburger,"Swiss, 1935-2014",Swiss,male,1935,2014,,
2501,Robert Hardmeyer,"Swiss, 1876–1919",Swiss,male,1876,1919,,
2539,Pierre Haubensak,"Swiss, born 1935",Swiss,male,1935,0,Q2093524,500072009.0
2595,Florence Henri,"Swiss, born United States. 1893–1982",Swiss,female,1893,1982,Q443429,500000126.0
2661,Hans Hinterreiter,"Swiss, 1902–1989",Swiss,male,1902,1989,,
2681,Ferdinand Hodler,"Swiss, 1853–1918",Swiss,male,1853,1918,Q214564,500027184.0
2695,Alfred Hofkunst,"Swiss, born Austria. 1942–2004",Swiss,male,1942,2004,,
2697,Armin Hofmann,"Swiss, 1920 – 2020",Swiss,male,1920,2020,Q3335167,500085144.0
2699,Christopher Martin Hofstetter,"Swiss, born 1944",Swiss,male,1944,0,,
2719,Gottfried Honegger,"Swiss, 1917–2016",Swiss,male,1917,2016,Q115873,500027064.0
2744,Hermann Huber,"Swiss, 1888–1967",Swiss,male,1888,1967,,
2829,Rolf Iseli,"Swiss, born 1934",Swiss,male,1934,0,Q120540,500000854.0
2843,Johannes Itten,"Swiss, 1888–1967",Swiss,male,1888,1967,Q123138,500029154.0
2899,Pierre Jeanneret,"Swiss, 1896–1967",Swiss,male,1896,1967,Q115575,500004442.0
2901,Werner Jeker,"Swiss, born 1944",Swiss,male,1944,0,,
2947,Carl Jakob Jucker,"Swiss, 1902–1997",Swiss,male,1902,1997,,
3025,Willy Kaufmann,"Swiss, born 1932",Swiss,male,1932,0,,
3041,Ernst Keller,"Swiss, 1891–1968",Swiss,male,1891,1968,,
3055,Zoltan Kemeny,"Swiss, born Hungary. 1907–1965",Swiss,male,1907,1965,Q218951,500031473.0
3285,Charles Kuhn,"Swiss, born 1903",Swiss,male,1903,0,,
3298,Peter Kunz,"Swiss, 1944–1989",Swiss,male,1944,1989,,
3311,Helmuth Kurtz,"Swiss, 1903–1959",Swiss,male,1903,1959,,
3316,Rainer Küschall,"Swiss, born 1947",Swiss,male,1947,0,,
3415,Warja Lavater,"Swiss, 1913–2007",Swiss,female,1913,2007,,
3486,Eugen Lenz,"Swiss, 1916-2004",Swiss,,1916,2004,,
3493,Helmar Lerski,"Swiss, born Germany. 1871–1956",Swiss,male,1871,1956,Q124434,500109402.0
3503,Herbert Leupin,"Swiss, 1916–1999",Swiss,male,1916,1999,Q1608727,500110891.0
3504,Léo Leuppi,"Swiss, 1893–1972",Swiss,male,1893,1972,,
3587,Richard Paul Lohse,"Swiss, 1902–1988",Swiss,male,1902,1988,Q547803,500010583.0
3611,Vreni Löwensberg,"Swiss, 1912–1986",Swiss,female,1912,1986,,
3624,Thomas Lüchinger,"Swiss, born 1953",Swiss,male,1953,0,,
3643,Urs Lüthi,"Swiss, born 1947",Swiss,male,1947,0,Q1300788,500088471.0
3645,Max Lutzbacher,Swiss,Swiss,male,0,0,,
3654,Ernst Mumenthaler,"Swiss, 1901–1978",Swiss,male,1901,1978,,
3831,Marcel Mathys,"Swiss, born 1933",Swiss,male,1933,0,,
4075,Otto Morach,"Swiss, 1887–1973",Swiss,male,1887,1973,Q119369,500030671.0
4125,Olivier Mosset,"Swiss, born 1944",Swiss,male,1944,0,,
4148,Fridolin Müller,"Swiss, born 1926",Swiss,male,1926,0,,
4149,Grégoire Müller,"Swiss, born 1947",Swiss,male,1947,0,,
4153,Robert Müller,"Swiss, 1920–2003",Swiss,male,1920,2003,,
4154,Josef Müller-Brockmann,"Swiss, 1914–1996",Swiss,male,1914,1996,Q123409,500125350.0
4157,Shizuko Muller-Yoshikawa,"Swiss, born Japan, 1934-2019",Swiss,female,1934,2019,,
4295,Robert Lovis Nicoidski,"Swiss, 1931–2001",Swiss,male,1931,2001,,
4300,Roberto Niederer,Swiss,Swiss,male,0,0,,
4311,Erik Nitsche,"Swiss, 1908–1998",Swiss,male,1908,1998,Q1354044,500037120.0
4416,Meret Oppenheim,"Swiss, 1913–1985",Swiss,female,1913,1985,Q61594,500029314.0
4542,Pellegrini,Swiss,Swiss,,0,0,,
4605,Celestino Piatti,"Swiss, 1922–2007",Swiss,male,1922,2007,,
4787,Markus Raetz,"Swiss, 1941–2020",Swiss,male,1941,2020,Q477409,500007626.0
4812,A. Richard Ranft,"Swiss, 1862–1931",Swiss,male,1862,1931,,
4867,Eduard Renggli,"Swiss, 1882–1939",Swiss,male,1882,1939,,
4911,Marco Richterich,"Swiss, born 1929",Swiss,male,1929,0,,
5002,Benedikt Rohner,Swiss,Swiss,male,0,0,,
5042,Dieter Roth,"Swiss, born Germany. 1930–1998",Swiss,male,1930,1998,Q574709,500023079.0
5077,Anton Rüegg,Swiss,Swiss,male,0,0,,
5096,Viktor Rutz,"Swiss, 1913-2008",Swiss,male,1913,2008,,
5214,Elso Schiavo,"Swiss, born 1934",Swiss,male,1934,0,,
5216,Moik Schiele,"Swiss, 1938–1993",Swiss,female,1938,1993,,
5229,Wilhelm Schmid,"Swiss, 1892–1971",Swiss,male,1892,1971,,
5272,Gotthard Schuh,"Swiss, 1897–1969",Swiss,male,1897,1969,Q1539623,500078745.0
5283,Carlos Schwabe,"Swiss, 1866–1926",Swiss,male,1866,1926,Q694113,500112162.0
5332,Sonja Sekula,"Swiss, 1918–1963",Swiss,female,1918,1963,,
5544,Louis Soutter,"Swiss, 1871–1942",Swiss,male,1871,1942,Q689650,500030990.0
5569,Daniel Spoerri,"Swiss, born Romania. 1930–2024",Swiss,male,1930,2024,Q123487,500031201.0
5628,Steiner,Swiss,Swiss,,0,0,,
5671,Niklaus Stoecklin,"Swiss, 1896–1982",Swiss,male,1896,1982,Q1990471,500017791.0
5675,Gunta Stölzl,"Swiss, born Germany. 1897–1983",Swiss,female,1897,1983,Q73085,500048725.0
5738,Hugo Suter,"Swiss, born 1943",Swiss,male,1943,0,,
5777,Sophie Taeuber-Arp,"French, born Switzerland. 1889–1943",Swiss,female,1889,1943,Q254395,500020080.0
5856,André Thomkins,"Swiss, 1930–1985",Swiss,male,1930,1985,Q121068,500015434.0
5882,Jean Tinguely,"Swiss, 1925–1991",Swiss,male,1925,1991,Q163938,500010804.0
5940,Niklaus Troxler,"Swiss, born 1947",Swiss,male,1947,0,Q1990474,
5951,Jan Tschichold,"Swiss, born Germany. 1902–1974",Swiss,male,1902,1974,Q455232,500125556.0
5954,Lill Tschudi,"Swiss, 1911–2004",Swiss,female,1911,2004,Q16016303,500107683.0
5966,Jakob Tuggener,"Swiss, 1904–1988",Swiss,male,1904,1988,Q1451077,
6019,Unidentified Designer,Swiss,Swiss,,0,0,,
6173,Carlo L. Vivarelli,"Swiss, 1919–1986",Swiss,male,1919,1986,,
6232,Karl Walser,"Swiss, 1877–1943",Swiss,male,1877,1943,,
6238,Gene Walther,Swiss,Swiss,male,0,0,,
6289,Wolfgang Weingart,"Swiss, 1941 – 2021",Swiss,male,1941,2021,,
6294,David Weiss,"Swiss, 1946–2012",Swiss,male,1946,2012,Q18618552,500060883.0
6296,Sabine Weiss,"Swiss, 1924–2021",Swiss,female,1924,2021,Q3460581,
6410,Kurt Wirth,"Swiss, born 1917",Swiss,male,1917,0,Q1279024,500345750.0
6498,Albert E. Yersin,"Swiss, 1905–1984",Swiss,male,1905,1984,,
6553,Bruno Zehnder,"Swiss, 1945–1997",Swiss,male,1945,1997,,
6606,Susi Berger,"Swiss, 1937 – 2019",Swiss,female,1937,2019,,
6607,Ueli Berger,"Swiss, 1937–2008",Swiss,male,1937,2008,,
6621,John Armleder,"Swiss, born 1948",Swiss,male,1948,0,Q475516,500053923.0
6631,Rémy Zaugg,"Swiss, 1943–2005",Swiss,male,1943,2005,,
6701,Louise Breslau,"Swiss, born Germany. 1856–1927",Swiss,female,1856,1927,,
6898,Marcus Kutter,"Swiss, born 1925",Swiss,male,1925,0,,
6900,Pierre Neumann,"Swiss, born 1951",Swiss,male,1951,0,,
6929,Trix Wetter,Swiss,Swiss,,0,0,,
6946,Marcel Kunz,Swiss,Swiss,male,0,0,,
6976,Bernhard Luginbühl,"Swiss, 1929–2011",Swiss,male,1929,2011,Q461165,500024568.0
7048,B. Tillmann,"Swiss, born 1947",Swiss,,1947,0,,
7132,Dieter Wackerlin,Swiss,Swiss,male,0,0,,
7330,Yvonne Delattre,Swiss,Swiss,female,0,0,,
7400,Marc van de Loo,"Swiss, born 1966",Swiss,male,1966,0,,
7403,Walter Ballmer,"Swiss, born 1923",Swiss,male,1923,0,,
7421,Jacques Herzog,"Swiss, born 1950",Swiss,male,1950,0,,
7422,Pierre de Meuron,"Swiss, born 1950",Swiss,male,1950,0,,
7426,Martin Diethelm,Swiss,Swiss,male,0,0,,
7567,"Herzog & de Meuron, Basel",est. 1978,Swiss,,1978,0,Q308776,500125483.0
7568,Thomas Blossfeldt,"Swiss, born 1950",Swiss,male,1950,0,,
7674,Sylvie Fleury,"Swiss, born 1961",Swiss,female,1961,0,Q528083,500116132.0
7824,Roman Signer,"Swiss, born 1938",Swiss,male,1938,0,Q463844,500096318.0
7837,Peter Stampfli,"Swiss, born 1937",Swiss,male,1937,0,Q3376904,500030645.0
7917,Not Vital,"Swiss, born 1948",Swiss,male,1948,0,Q2001713,500067365.0
8043,Ugo Rondinone,"Swiss, born 1964",Swiss,male,1964,0,Q599273,500123760.0
8057,Bernard Tschumi Architects,Swiss,Swiss,,0,0,,
8062,Hans Coray,"Swiss, 1906–1991",Swiss,male,1906,1991,,
8136,Charles Spurrier,"Swiss, born 1930",Swiss,male,1930,0,,
8156,Beat Streuli,"Swiss, born 1957",Swiss,male,1957,0,Q376770,500347126.0
8204,Willi Baum,Swiss,Swiss,male,0,0,,
8262,Yves José Zimmerman,"Swiss, born 1937",Swiss,male,1937,0,,
8263,Gérard Miedinger,"Swiss, born 1912",Swiss,male,1912,0,,
8272,Walter Diethelm,"Swiss, 1913–1986",Swiss,male,1913,1986,,
8276,Thomas Hirschhorn,"Swiss, born 1957",Swiss,male,1957,0,Q115700,500193846.0
8297,Pipilotti Rist,"Swiss, born 1962",Swiss,female,1962,0,Q116054,500115980.0
8319,Fred Mayer,"Swiss, born 1938",Swiss,male,1938,0,,
8326,Rudolf Bircher,"Swiss, 1911-2009",Swiss,male,1911,2009,,
8334,Walther Koch,"Swiss, 1875–1915",Swiss,male,1875,1915,,
8339,Leo Gantenbein,"Swiss, born 1920",Swiss,male,1920,0,,
8348,Heini Fischer-Corso,"Swiss, 1921–1990",Swiss,,1921,1990,,
8391,Wilhelm Friedrich Bürger,"Swiss, 1882–1964",Swiss,male,1882,1964,,
8393,Hans Hartmann,"Swiss, born 1913",Swiss,male,1913,0,,
8397,Emil Ruder,"Swiss, 1914–1970",Swiss,male,1914,1970,,
8398,Werner Zryd,"Swiss, born 1923",Swiss,male,1923,0,,
8399,Pierre Gauchat,"Swiss, 1902–1956",Swiss,male,1902,1956,Q18214811,
8841,Hugo Herdeg,"Swiss, 1909–1953",Swiss,male,1909,1953,,
8996,Alfred Roth,"Swiss, 1930–1998",Swiss,male,1930,1998,,
10024,"Wohnbedarf AG, Zürich",est. 1931,Swiss,,1931,0,,
10298,"Wenger, Switzerland","Swiss, established 1893",Swiss,,1893,0,,
10383,"Hämmerli, Ltd., Lenzburg, Switzerland",,Swiss,,0,0,,
10442,"Swatch AG, Switzerland","Swiss, established 1983",Swiss,,1983,0,,
10946,"Baum-Mercier, Switzerland",,Swiss,,0,0,,
11003,Victorinox,"Swiss, est 1884",Swiss,,1884,0,,
11139,"Frimu Company, Switzerland",,Swiss,,0,0,,
11786,"Max Dalang A.G., Zürich",1920–1940,Swiss,,1920,1940,,
11799,Orell Füssli,Swiss,Swiss,,0,0,,
12101,Niele Toroni,"Swiss, born 1937",Swiss,male,1937,0,Q556530,500053946.0
19194,Hans Danuser,"Swiss, born 1953",Swiss,male,1953,0,,
19962,Hans-Ulrich Obrist,"Swiss, born 1968",Swiss,male,1968,0,,
22580,Fritz Haller,"Swiss, born 1924",Swiss,male,1924,0,Q1466522,500082013.0
22621,Emil Roth,"Swiss, 1896–1980",Swiss,male,1896,1980,,
22950,Max Lenz,"Swiss, born 1918",Swiss,male,1918,0,,
22975,Klaus Oberer,"Swiss, born 1937",Swiss,male,1937,0,,
23362,Alfred Willimann,"Swiss, 1900–1957",Swiss,male,1900,1957,,
24511,Hannes Meyer,"Swiss, 1889–1954",Swiss,male,1889,1954,Q123948,500000006.0
24589,Hans Finsler,"Swiss, 1891–1972",Swiss,male,1891,1972,Q686188,500028032.0
24602,Andreas Walser,"Swiss, 1908–1930",Swiss,male,1908,1930,,
24714,Gustave Falconnier,Swiss,Swiss,male,0,0,,
26099,Markus Freitag,"Swiss, born 1971",Swiss,male,1971,0,,
26100,Daniel Freitag,"Swiss, born 1972",Swiss,male,1972,0,,
26101,"Freitag, Zurich, Switzerland","Zurich, Switzerland",Swiss,,0,0,,
26805,Franco Annoni,"Swiss, 1924–1992",Swiss,male,1924,1992,,
26965,Hermann Steiner,"Swiss, born 1913",Swiss,,1913,0,,
26969,Marc A. Chavannes,"Swiss, 1896–1994",Swiss,male,1896,1994,,
28015,Schoeller Textil AG,"Switzerland, est. 1868",Swiss,,1868,0,,
28388,Andreas Vogler,"Swiss, born 1964",Swiss,male,1964,0,,
28621,Urs Fischer,"Swiss, born 1973",Swiss,male,1973,0,Q503641,500293983.0
28626,Franziska Furter,"Swiss, born 1972",Swiss,female,1972,0,,
28794,Mathias Schmied,"Swiss, born 1976",Swiss,male,1976,0,,
28869,Claudia Müller,"Swiss, born 1964",Swiss,female,1964,0,,
28870,Julia Müller,"Swiss, born 1965",Swiss,female,1965,0,,
30109,Nic Hess,"Swiss, born 1968",Swiss,,1968,0,,
30610,Jules Spinatsch,"Swiss, born 1964",Swiss,male,1964,0,,
30755,Gottlieb Soland,"Swiss, born 1928",Swiss,,1928,0,,
30913,Marcus Geiger,"Swiss, born 1957",Swiss,male,1957,0,,
30968,Hans Küng,"Swiss, 1928",Swiss,male,1928,0,,
30997,Christian Philipp Müller,"Swiss, born 1957",Swiss,male,1957,0,,
31079,Andreas Zybach,"Swiss, born 1975",Swiss,male,1975,0,,
31080,Cornel Windlin,"Swiss, born 1964",Swiss,male,1964,0,,
31307,Harald Szeemann,"Swiss, 1933–2005",Swiss,male,1933,2005,,
31360,Pirmin Blum,"Swiss, born 1969",Swiss,male,1969,0,,
32059,Max Miedinger,"Swiss, 1910–1980",Swiss,male,1910,1980,,
32099,Edouard Hoffmann,Swiss,Swiss,,0,0,,
32251,Anne-Marie Miéville,"Swiss, born 1945",Swiss,female,1945,0,Q124992,
32793,Gianfredo Camesi,"Swiss, born 1940",Swiss,male,1940,0,Q324611,500013070.0
33082,International Electrotechnical Commission (IEC),"Switzerland, est. 1906",Swiss,,1906,0,,
33197,Yves Béhar,"Swiss, born 1967",Swiss,male,1967,0,Q123419,
33217,Olaf Breuning,"Swiss, born 1970",Swiss,male,1970,0,,
34838,Dieter Meier,"Swiss, born 1945",Swiss,male,1945,0,Q526407,
35115,Karl Elsener,"Swiss, 1860–1918",Swiss,,1860,1918,,
35475,Danielle Jaeggi,"Swiss, born 1945",Swiss,female,1945,0,,
35953,Silvia Bächli,"Swiss, born 1956",Swiss,female,1956,0,,
36953,Gabriel de Rumine,"Swiss, 1841–1871",Swiss,male,1841,1871,Q120047,
37067,Silvie Defraoui,"Swiss, born 1935",Swiss,male,1935,0,,
37068,Didier Rittener,"Swiss, born 1969",Swiss,male,1969,0,,
37334,Riccardo Blumer,"Swiss, born Italy 1959",Swiss,male,1959,0,,
37639,Mai-Thu Perret,"Swiss, born 1976",Swiss,female,1976,0,,
37661,Julie Joliat,"Swiss, born 1979",Swiss,female,1979,0,,
37694,Jean Tschumi,"Swiss, 1904–1962",Swiss,male,1904,1962,Q117124,500021463.0
37695,Edouard-Marcel Sandoz,"Swiss, 1881–1971",Swiss,male,1881,1971,,
37955,Helene Haasbauer-Wallrath,"Swiss, 1885–1968",Swiss,female,1885,1968,,
37966,Shahryar Nashat,"Swiss, born 1975",Swiss,male,1975,0,,
39325,Marc Bauer,"Swiss, born 1975",Swiss,,1975,0,,
39326,Philippe Decrauzat,"Swiss, born 1974",Swiss,,1974,0,,
39904,Walter Käch,"Swiss, 1901–1970",Swiss,male,1901,1970,,
39905,Alois Carigiet,"Swiss, 1902–1985",Swiss,,1902,1985,Q124595,500016220.0
40190,Werner John,"Swiss, born 1941",Swiss,male,1941,0,,
40578,Thomas Huber,"Swiss, born 1955",Swiss,male,1955,0,,
40878,Ed Sommer,"Swiss, born Germany 1932",Swiss,male,1932,0,,
42362,Daniel Grataloup,"Swiss, born 1937",Swiss,male,1937,0,,
42520,Grégoire Jeanmonod,"Swiss, born 1978",Swiss,male,1978,0,,
42620,Valentin Carron,"Swiss, born 1977",Swiss,male,1977,0,,
43061,Robi Müller,"Swiss, born 1942",Swiss,male,1942,0,,
43706,Tobias Madison,"Swiss, born 1985",Swiss,male,1985,0,,
44206,Emil Schulthess,"Swiss, 1913–1996",Swiss,male,1913,1996,,
44207,Georg Gerster,"Swiss, born 1928",Swiss,male,1928,0,,
44208,Hans Frei,Swiss,Swiss,male,0,0,,
44717,Daniel Schmid,"Swiss, 1941–2006",Swiss,male,1941,2006,,
45203,Heidi Bucher,"Swiss, 1926–1993",Swiss,female,1926,1993,,
46961,Christian Vetter,"Swiss, born 1970",Swiss,male,1970,0,,
47022,Hélène Binet,"Swiss, born 1959",Swiss,female,1959,0,,
47134,Igildo Biesele,"Swiss, born 1930",Swiss,male,1930,0,,
47230,Peter Zumthor,"Swiss, born 1943",Swiss,male,1943,0,,
47911,Philipp Schaerer,"Swiss, born 1972",Swiss,male,1972,0,,
48201,Paul Gredinger,"Swiss, 1927–2013",Swiss,,1927,2013,,
48339,Vincent Kohler,"Swiss, born 1977",Swiss,male,1977,0,,
48340,David Hominal,"Swiss, born 1976",Swiss,male,1976,0,,
48915,Bruno Monguzzi,"Swiss, born 1941",Swiss,male,1941,0,,
49464,Manuel Herz Architects,"Switzerland, est. 1999",Swiss,,1999,0,,
49699,Pamela Rosenkranz,"Swiss, born 1979",Swiss,female,1979,0,,
49918,Hermann Hesse,"Swiss, 1877–1962",Swiss,male,1877,1962,,
67112,Claudia Comte,"Swiss, born 1983",Swiss,female,1983,0,,
67824,Alain Tanner,"Swiss, born 1929",Swiss,male,1929,0,,
68255,Alois Lichtsteiner,"Swiss, born 1950",Swiss,male,1950,0,,
69642,Nicolas Party,"Swiss, born 1980",Swiss,male,1980,0,,
69800,Valentin Jeck,"Swiss, born 1964",Swiss,male,1964,0,,
69920,Hansjörg Gisiger,"Swiss, 1919–2008",Swiss,male,1919,2008,,
74154,"Aluminium Menziken und Gontenschwil A.G., Zürich",,Swiss,,0,0,,
74431,Silvia Buonvicini,"Swiss, born 1966",Swiss,female,1966,0,,
74436,Loredana Sperini,"Swiss, born 1970",Swiss,female,1970,0,,
74555,Francis Baudevin,"Swiss, born 1964",Swiss,,1964,0,,
75301,Mario Meier,"Swiss, born 1938",Swiss,male,1938,0,,
75652,Sandrine Pelletier,"Swiss, born 1976",Swiss,female,1976,0,,
132603,Zilla Leutenegger,"Swiss, born 1968",Swiss,female,1968,0,,
133330,Kurt Zimmerli,"Swiss, born 1946",Swiss,,1946,0,,
134660,Christophe Guberan,"Swiss, born 1985",Swiss,male,1985,0,,
134989,Heinz Isler,"Swiss, 1926 – 2009",Swiss,male,1926,2009,,
